,Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score,Overall Sentiment,Source Bias
14,immigrant,The Washington Post,Glenn Kessler,Trump’s Social Security-illegal immigration attack on Biden misses its mark,https://www.washingtonpost.com/politics/2020/09/18/trumps-social-security-illegal-immigration-attack-biden-misses-its-mark/,The ad cites a Fox News article from 2019 as the source for that claim. But that article recounts Biden saying he would support allowing undocumented immigrants access to health care. (The Biden camp… [+7980 chars],2020-09-18T07:00:22Z,-0.6124,0.385,0.0,0.615,-1,-3.7
15,immigrant,The Washington Post,"Danielle Paquette, Borso Tall",'Cuties' sparked outrage in the U.S. The reception in Senegal was vastly different.,https://www.washingtonpost.com/world/africa/senegal-cuties-film/2020/09/16/fb8a1272-f824-11ea-85f7-5941188a98cd_story.html,"DAKAR, Senegal Lawmakers in the United States have condemned Cuties, accusing the controversial French films creators of exploiting children. But viewers in the Senegalese capital saw no such thing a… [+4313 chars]",2020-09-16T17:18:33Z,-0.5106,0.21600000000000005,0.0,0.784,-1,-3.7
16,immigrant,The Washington Post,Sonny Bunch,"If ‘Cuties’ disturbs you, that’s good. What are you going to do about it?",https://www.washingtonpost.com/opinions/2020/09/15/if-cuties-disturbs-you-thats-good-what-are-you-going-do-about-it/,"Cuties follows an 11-year-old Senegalese immigrant to France named Amy (Fathia Youssouf) who finds herself repulsed by her traditional Muslim upbringing. But the alternative, the movie suggests, is k… [+3769 chars]",2020-09-15T13:48:27Z,0.0,0.163,0.163,0.674,0,-3.7
17,immigrant,The Washington Post,E.J. Dionne,Amy Coney Barrett and the GOP’s hypocrisy about religion,https://www.washingtonpost.com/opinions/amy-coney-barrett-and-the-gops-hypocrisy-about-religion/2020/09/27/15fac350-00d0-11eb-897d-3a6201d6643f_story.html,"To divert attention from Barretts views and their wanton flouting of historical norms, her Republican defenders offered dire warnings about a coming religious war. They insisted that anyone who expre… [+5138 chars]",2020-09-27T16:12:45Z,0.0,0.0,0.0,1.0,0,-3.7
18,immigrant,The Washington Post,Greg Miller,Allegations of racism have marked Trump’s presidency and become key issue as election nears,https://www.washingtonpost.com/national-security/trump-race-record/2020/09/23/332b0b68-f10f-11ea-b796-2dd09962649c_story.html,"Trumps private musings about Hispanics match the vitriol he has displayed in public, and his antipathy to Africa is so ingrained that when first lady Melania Trump planned a 2018 trip to that contine… [+30767 chars]",2020-09-23T14:29:10Z,-0.6249,0.24,0.0,0.76,-1,-3.7
19,immigrant,The Washington Post,Sean Sullivan,Latino groups warn that Biden’s sluggish outreach could have devastating results,https://www.washingtonpost.com/politics/latino-groups-warn-that-bidens-sluggish-outreach-could-have-devastating-results/2020/09/13/82dab318-f44b-11ea-bc45-e5d48ab44b9f_story.html,"Within the last two weeks, theyve been making an effort to put all the pieces in place, said José Parra, who served as a senior adviser to Harry M. Reid when he was Senate majority leader and lives i… [+12919 chars]",2020-09-13T22:49:16Z,-0.743,0.48,0.12,0.4,-1,-3.7
20,immigrant,The Washington Post,Philip Bump,Some assertions Donald ‘I don’t want people to panic’ Trump has made since February,https://www.washingtonpost.com/politics/2020/09/10/some-assertions-donald-i-dont-want-people-panic-trump-has-made-since-february/,"The fact is, Im a cheerleader for this country. I love our country, Trump said during an event at the White House on Tuesday. And I dont want people to be frightened. I dont want to create panic, as … [+15897 chars]",2020-09-10T10:30:00Z,0.0772,0.0,0.091,0.909,0,-3.7
21,immigrant,The Washington Post,Robert Barnes,"Ruth Bader Ginsburg, Supreme Court justice and legal pioneer for gender equality, dies at 87",https://www.washingtonpost.com/local/obituaries/ruth-bader-ginsburg-dies/2020/09/18/3cedc314-fa08-11ea-a275-1a2c2d36e1f1_story.html,"Supreme Court Justice Ruth Bader Ginsburg, the second woman to serve on the high court and a legal pioneer for gender equality whose fierce opinions as a justice made her a hero to the left, died Sep… [+22824 chars]",2020-09-19T00:04:00Z,0.8176,0.0,0.415,0.585,1,-3.7
22,immigrant,The Washington Post,Adam Taylor,Trump's dream of a Nobel Peace Prize kept alive by far-flung foreign allies,https://www.washingtonpost.com/world/2020/10/09/trump-nobel-peace-prize-foreing-allies/,"In 2018, a reporter asked him if he felt he deserved it. Everyone thinks so, but I would never say it, he responded.
Im going to get a Nobel Prize for a lot of things if they gave it out fairly, whi… [+6233 chars]",2020-10-09T11:00:00Z,0.8859999999999999,0.0,0.588,0.412,1,-3.7
23,immigrant,The Washington Post,James McAuley,Macron outlines new law to prevent Islamic 'separatism' in France,https://www.washingtonpost.com/world/europe/macron-islam-france/2020/10/02/ba8a1dcc-04bc-11eb-b92e-029676f9ebec_story.html,"What we need to fight is Islamist separatism, Macron said, in a speech delivered in the northwestern Paris suburb of Les Mureaux. Its a conscious, theorized, politico-religious project that materiali… [+2966 chars]",2020-10-02T18:36:11Z,0.0258,0.0,0.109,0.8909999999999999,0,-3.7
24,immigrant,The Washington Post,Associated Press,Nurse questions medical care at immigration jail in Georgia,https://www.washingtonpost.com/health/nurse-questions-medical-care-at-immigration-jail-in-georgia/2020/09/14/1eed5708-f701-11ea-85f7-5941188a98cd_story.html,"Wooten calls a gynecologist who works outside the facility the uterus collector.
Everybody he sees has a hysterectomy just about everybody, Wooten said. Hes even taken out the wrong ovary on a young… [+2402 chars]",2020-09-15T03:33:00Z,0.4939,0.0,0.28600000000000003,0.7140000000000001,1,-3.7
25,immigrant,The Washington Post,Miriam Berger,The pandemic is an era of protests — and protest restrictions,https://www.washingtonpost.com/world/2020/10/02/coronavirus-pandemic-demonstrations-protest-restrictions/,"These rules often affect how and when people can protest. Heres what demonstrations look like in some places that have implemented new restrictions.
For months, demonstrators have been gathering wee… [+5814 chars]",2020-10-02T10:00:00Z,-0.4404,0.328,0.0,0.672,-1,-3.7
26,immigrant,The Washington Post,"Karla Adam, William Booth","Boris Johnson, who almost died of covid-19, wishes Trump a 'speedy recovery'",https://www.washingtonpost.com/world/europe/boris-johnson-covid-trump/2020/10/02/118573d6-049c-11eb-b92e-029676f9ebec_story.html,"Until Trumps positive test, Johnson was the most famous world leader to be stricken.
Like Trump, Johnson was overweight, making him more vulnerable.
Like Trump, Johnson at least initially downplaye… [+4993 chars]",2020-10-02T14:31:10Z,-0.4033,0.238,0.115,0.647,-1,-3.7
27,immigrant,Politico,Josh Gerstein,Appeals court OKs Trump plan to end protected immigration status for 4 countries,https://www.politico.com/news/2020/09/14/court-trump-protected-immigration-414520,"The Secretarys discretion to make TPS determinations, while not without check, is undoubtedly broad and unique in nature, Judge Consuelo Callahan wrote in the appeals courts majority opinion, joined … [+4671 chars]",2020-09-14T19:24:12Z,0.4404,0.0,0.209,0.7909999999999999,1,-3.5
28,immigrant,Politico,Mackenzie Mays,"California schools launch anti-racism plan, flouting Trump's threats",https://www.politico.com/states/california/story/2020/09/21/california-schools-launch-anti-racism-plan-flouting-trumps-threats-1317670,"An empty classroom is seen at Hollywood High School in Hollywood, Calif. | Rodin Eckenroth/Getty Images
SACRAMENTO The California Department of Education announced new anti-racism lessons and teache… [+4355 chars]",2020-09-22T00:12:20Z,-0.4215,0.28600000000000003,0.0,0.7140000000000001,-1,-3.5
29,immigrant,Politico,By Erin Durkin,"De Blasio calls Trump's funding threat 'insulting,' but empty",https://www.politico.com/news/2020/09/24/de-blasio-trump-empty-threat-421170,"De Blasio said the city will fight the move in court if it comes to that, but he predicted the threat would fizzle, similar to Trumps vow to yank federal funding from sanctuary cities with immigrant-… [+892 chars]",2020-09-24T18:05:10Z,-0.5267,0.386,0.0,0.614,-1,-3.5
30,immigrant,Politico,Janaki Chadha,How the left killed another major NYC development,https://www.politico.com/news/2020/09/25/how-the-left-killed-another-major-nyc-development-421956,"The projects fate was sealed when Velázquez began corralling other opponents to lobby against the plans, four sources with knowledge of the events said. The developers pulled the plug on Tuesday, six… [+6972 chars]",2020-09-25T22:49:20Z,-0.6705,0.391,0.0,0.609,-1,-3.5
31,immigrant,Politico,Sabrina Rodriguez and Marc Caputo,‘This is f—ing crazy’: Florida Latinos swamped by wild conspiracy theories,https://www.politico.com/news/2020/09/14/florida-latinos-disinformation-413923,"At the same time, there has been a rise of Spanish-language conservative media, especially revolving around politics connected to Colombia and Venezuela, that are increasingly showing up in the socia… [+9270 chars]",2020-09-14T08:30:09Z,-0.5267,0.254,0.0,0.746,-1,-3.5
32,immigrant,Politico,By Kimberly Wehle,The Surprising Conservatism of Ruth Bader Ginsburg,https://www.politico.com/news/magazine/2020/09/20/ruth-bader-ginsburg-conservatism-418821,"For non-lawyers, such political grades ascribed to judges by outsiders might signal personal penchants rather than an intellectually honest approach to hard legal questions. Deemed the most important… [+11468 chars]",2020-09-20T15:20:20Z,0.2732,0.0,0.259,0.741,1,-3.5
33,immigrant,Politico,By Jake Sherman and Anna Palmer,POLITICO Playbook: Trump on alleged police shooters: ‘Animals that must be hit hard!’,https://www.politico.com/newsletters/playbook/2020/09/13/trump-on-alleged-police-shooters-animals-that-must-be-hit-hard-490312,"DRIVING THE DAY
GOOD SUNDAY MORNING. BREAKING OVERNIGHT: L.A. TIMES: Two L.A. County sheriffs deputies shot, critically wounded in attack captured on video,by Doug Smith, Matthew Ormseth and Richard… [+23015 chars]",2020-09-13T14:58:16Z,0.0,0.0,0.0,1.0,0,-3.5
34,immigrant,Politico,By Jake Sherman and Anna Palmer,POLITICO Playbook: Another big scoop from Dan Diamond,https://www.politico.com/newsletters/playbook/2020/09/12/another-big-scoop-from-dan-diamond-490311,"DRIVING THE DAY
A new story finds that political appointees like Michael Caputo are interfering with CDC reports on Covid-19. | Mark Wilson/Getty Images
NEW THIS MORNING NYT/SIENA POLLING: MINN.: B… [+23243 chars]",2020-09-12T14:05:20Z,0.4588,0.0,0.4,0.6,1,-3.5
35,immigrant,Politico,By Zack Stanton,‘All Paths to 270 Lead Through the Latino Electorate’,https://www.politico.com/news/magazine/2020/09/17/latino-voters-2020-trump-biden-florida-arizona-nevada-swing-states-417315,"Joe Biden is well-known, but not sharply defined, said Valencia, a former aide to President Barack Obama. And with early voting already underway in some states, the window is narrowing for Joe Biden … [+23199 chars]",2020-09-17T22:42:00Z,0.0,0.0,0.0,1.0,0,-3.5
36,immigrant,Politico,By Melanie Zanona,Republicans line up behind swift SCOTUS vote,https://www.politico.com/newsletters/huddle/2020/09/21/republicans-line-up-behind-swift-scotus-vote-490388,"PAYBACKS A MITCH -- Buckle up, because its about to get wild and ugly on Capitol Hill. The death of liberal Supreme Court Justice Ruth Bader Ginsburg and President Donald Trumps push to fill the seat… [+14371 chars]",2020-09-21T12:20:47Z,0.2023,0.0,0.231,0.769,1,-3.5
37,immigrant,Politico,By Melanie Zanona,All eyes on Mitt,https://www.politico.com/newsletters/huddle/2020/09/22/all-eyes-on-mitt-490402,"SEE YOU AT THA CROSSROADS -- At this point, it feels like a matter of when not if the Senate GOP will confirm someone to replace late Supreme Court Justice Ruth Bader Ginsburg. 
President Donald Tru… [+13941 chars]",2020-09-22T12:23:11Z,0.0,0.0,0.0,1.0,0,-3.5
38,immigrant,Politico,By Theodoric Meyer,PhRMA doesn’t back Trump’s drug-discount plan,https://www.politico.com/newsletters/politico-influence/2020/09/25/phrma-doesnt-back-trumps-drug-discount-plan-790636,"Presented by the Consumer Brands Association
With Daniel Lippman
PHRMA DOESNT BACK TRUMPS DRUG-DISCOUNT CARDS: President Donald Trumps announcement on Thursday that has planned to send $200 drug di… [+9366 chars]",2020-09-25T18:40:46Z,0.0,0.0,0.0,1.0,0,-3.5
39,immigrant,Politico,By Rebecca Rainey,OSHA fines meatpacking plants almost $30K after Covid-19 deaths,https://www.politico.com/newsletters/weekly-shift/2020/09/14/osha-fines-meatpacking-plants-almost-30k-after-covid-19-deaths-790387,"Presented by DoorDash
Editors Note: Weekly Shift is a weekly version of POLITICO Pros daily Employment &amp; Immigration policy newsletter, Morning Shift. POLITICO Pro is a policy intelligence platf… [+12240 chars]",2020-09-14T14:00:33Z,0.0,0.0,0.0,1.0,0,-3.5
40,immigrant,Politico,"By Jeremy B. White, Carla Marinucci, Graph Massara and Mackenzie Hawkins",NEWSOM’s rough road — UC faulted for ‘inappropriate’ admissions — FORD doubles down on CA standards — Department of Labor moves on GIG WORKERS,https://www.politico.com/newsletters/california-playbook/2020/09/23/newsoms-rough-road-uc-faulted-for-inappropriate-admissions-ford-doubles-down-on-ca-standards-department-of-labor-moves-on-gig-workers-490409,"Presented by Facebook
THE BUZZ Would you trade jobs with Gov. Gavin Newsom?If youre thinking, yes, then you may be either a masochist or the mayor of San Diego.
California governors regularly have … [+15960 chars]",2020-09-23T13:13:48Z,-0.34,0.107,0.0,0.893,-1,-3.5
41,immigrant,Politico,By Matt Friedman,"1,666 Sussex County primary ballots counted two months later",https://www.politico.com/newsletters/new-jersey-playbook/2020/09/15/1-666-sussex-county-primary-ballots-counted-two-months-later-490323,"Presented by Pre-K Our Way
Good Tuesday morning!
Last week, a mislabeled bin containing 1,666 uncounted mail-in ballots from the July 7 primary was found at the Sussex County Board of Elections. 
… [+16784 chars]",2020-09-15T11:30:16Z,0.0,0.0,0.0,1.0,0,-3.5
42,immigrant,Politico,"By Jeremy B. White, Graph Massara and Mackenzie Hawkins","RBG’s death rocks CA politics, KAMALA in spotlight — EDD reset — NEWSOM signs UNDOCUMENTED tax benefit — ROHRABACHER-ASSANGE offer corroborated",https://www.politico.com/newsletters/california-playbook/2020/09/21/rbgs-death-rocks-ca-politics-kamala-in-spotlight-edd-reset-newsom-signs-undocumented-tax-benefit-rohrabacher-assange-offer-corroborated-490383,"Presented by Facebook
THE BUZZ Dismay and then determination cascaded over California Democrats Friday night as they processed the death that could reshape both this election and generations of poli… [+17082 chars]",2020-09-21T13:12:29Z,-0.2263,0.17,0.131,0.6990000000000001,-1,-3.5
43,immigrant,Politico,"By Jeremy B. White, Carla Marinucci, Graph Massara and Mackenzie Hawkins","TRUMP, FIRST LADY test positive for COVID — BUDGET pain ahead as PELOSI signals no deal — CAGOP back to NO. 2 — WILSON backs TRUMP’s ‘good judgment’",https://www.politico.com/newsletters/california-playbook/2020/10/02/budget-pain-ahead-as-pelosi-signals-no-deal-cagop-back-to-no-2-wilson-backs-trumps-good-judgment-house-gop-backs-big-tech-tweaks-490504,"Presented by DoorDash
THE BUZZ: California budget-planners are sharpening their axes this week.
A coronavirus aid deal isnt coming, Speaker Nancy Pelosi conceded Thursday. House Democrats couldnt s… [+18094 chars]",2020-10-02T13:14:15Z,-0.6166,0.299,0.112,0.589,-1,-3.5
44,immigrant,Politico,"By Carla Marinucci, Jeremy B. White, Graph Massara and Mackenzie Hawkins",LA COUNTY DEM GONZALEZ to lead BIDEN CAMPAIGN in CA — RENDON backs GASCÓN — MEGHAN MARKLE cold-calling for DEMS? — NEWSOM calls for overhaul of EDD system,https://www.politico.com/newsletters/california-playbook/2020/09/22/la-county-dem-gonzalez-to-lead-biden-campaign-in-ca-rendon-backs-gascon-meghan-markle-cold-calling-for-dems-newsom-calls-for-overhaul-of-edd-system-feinstein-gets-filibuster-heat-490395,"Presented by Facebook
THE BUZZ Gov. Gavin Newsom had some splainin to do Monday.
THE PROBLEM: How is it that California the vaunted capital of the innovation economy, home to the giants of Silicon … [+20339 chars]",2020-09-22T13:14:15Z,-0.0516,0.048,0.0,0.952,0,-3.5
45,immigrant,Politico,By Matt Friedman,The SCI on the SDA,https://www.politico.com/newsletters/new-jersey-playbook/2020/10/01/the-sci-on-the-sda-490486,"Presented by CuriosityStream
Good Thursday morning!
Gov. Phil Murphy got less than 24 hours to enjoy the millionaires tax afterglow before the stench of Trenton again splashed on his administration… [+18224 chars]",2020-10-01T11:00:37Z,0.0,0.0,0.0,1.0,0,-3.5
46,immigrant,Politico,By Erin Durkin and Anna Gronewold,Not all reviews are 5 stars as indoor dining returns — BOE to resend 100K ballot packages — Court rejects rent regulation challenge,https://www.politico.com/newsletters/new-york-playbook/2020/10/01/not-all-reviews-are-5-stars-as-indoor-dining-returns-boe-to-resend-100k-ballot-packages-court-rejects-rent-regulation-challenge-490492,"Presented by DoorDash
New York City restaurants might be back to serving customers indoors
, but theyre hardly back to normal. With day one of indoor dining on the books, one of the citys most vita… [+21409 chars]",2020-10-01T11:18:50Z,-0.4404,0.142,0.058,0.8,-1,-3.5
47,immigrant,Politico,By Stephanie Murray,BAKER’s imprint on the JUDICIARY — JURY TRIALS to RESUME — Students waiting on LAPTOPS in BOSTON,https://www.politico.com/newsletters/massachusetts-playbook/2020/09/18/baker-gets-his-flu-shot-jury-to-return-in-october-students-waiting-on-laptops-in-boston-490369,"GOOD MORNING, MASSACHUSETTS. TGIF!
BAKER'S BROAD POWER ON BEACON HILL Gov. Charlie Baker's influence in Massachusetts government will become even broader by the end of the year. After the unexpected… [+18358 chars]",2020-09-18T11:18:27Z,0.0,0.0,0.0,1.0,0,-3.5
48,immigrant,Politico,By Stephanie Murray,BATTLE brewing over state DEMOCRATIC PARTY — Baker: There’s hope for HALLOWEEN — ‘UNLAWFUL’ stop in West Roxbury,https://www.politico.com/newsletters/massachusetts-playbook/2020/10/07/battle-brewing-over-state-democratic-party-baker-theres-hope-for-halloween-unlawful-stop-in-west-roxbury-490538,"GOOD MORNING, MASSACHUSETTS. 
SCOOP: DEM PARTY CHAIR FACES A CHALLENGE There's a battle brewing for control of the Massachusetts Democratic Party. 
Advertisement
State Democratic Party chairman Gu… [+21476 chars]",2020-10-07T11:18:54Z,0.2023,0.232,0.265,0.503,1,-3.5
49,immigrant,Politico,By Stephanie Murray,The MBTA is running out of CASH — BAKER could pick state’s entire HIGH COURT — CLARK seeks top HOUSE post,https://www.politico.com/newsletters/massachusetts-playbook/2020/09/16/the-mbta-is-running-out-of-cash-baker-could-pick-states-entire-high-court-clark-running-for-high-ranking-house-post-490342,"GOOD MORNING, MASSACHUSETTS. 
WU EYES HISTORY-MAKING MAYORAL BID If Boston Mayor Marty Walsh runs for reelection next year, beating him won't be easy. The last time an incumbent mayor lost in Boston… [+18645 chars]",2020-09-16T11:10:42Z,0.2023,0.0,0.091,0.909,1,-3.5
50,immigrant,Politico,By Stephanie Murray,How #MAPOLI reacted to Trump-Biden DEBATE – BAKER’s new REOPENING rules – WARREN won’t meet with SCOTUS nominee,https://www.politico.com/newsletters/massachusetts-playbook/2020/09/30/how-mapoli-reacted-to-trump-biden-debate-bakers-new-reopening-rules-warren-wont-meet-with-scotus-nominee-490477,"Presented by CuriosityStream
GOOD MORNING, MASSACHUSETTS. 
HOW #MAPOLI REACTED TO THE DEBATE President Donald Trump and Democratic nominee Joe Biden squared-off last night in a chaotic debate where… [+20545 chars]",2020-09-30T11:39:09Z,0.0,0.0,0.0,1.0,0,-3.5
51,immigrant,Buzzfeed,"[{""@type"":""Person"",""name"":""Victoria Gasparowicz"",""url"":""https://www.buzzfeed.com/victoriagasparowicz"",""jobTitle"":""BuzzFeed Staff""}]",Which American Quirk Do Your Immigrant Parents Always Talk About?,https://www.buzzfeed.com/victoriagasparowicz/american-quirks,"The Industry &amp; Company
The Orchard/ giphy.comYou gotta pop those bad boys off to step into my home, friend!",2020-09-14T19:50:35Z,0.0,0.0,0.0,1.0,0,-3.5
52,immigrant,The Wall Street Journal,"Natalie Andrews, Michelle Hackman",U.S. Opens Investigation Into Claims of Forced Hysterectomies on Detained Migrants - The Wall Street Journal,https://www.wsj.com/articles/lawmakers-seek-investigation-into-allegations-of-mass-hysterectomies-on-detained-migrants-11600291610,WASHINGTONThe Department of Homeland Securitys internal watchdog has opened an investigation into a whistleblowers allegations of coerced hysterectomies being performed on migrant women held at a Geo… [+147 chars],2020-09-16T23:23:00Z,-0.6908,0.305,0.0,0.695,-1,-0.25
53,immigrant,NBC News,Chris Fuchs,Chinese Americans look to new platforms as WeChat's future remains uncertain,https://www.nbcnews.com/news/asian-america/chinese-americans-look-new-platforms-wechat-s-future-remains-uncertain-n1241027,"Back in April, when New York City was in the grips of COVID-19, Yuan Mingyue relied on WeChat to keep in touch with relatives in China, to check on their health and to share how things were in New Yo… [+4773 chars]",2020-09-26T16:26:24Z,-0.29600000000000004,0.18,0.0,0.82,-1,-2.1
54,immigrant,NBC News,Variety,"""False sense of perspective"": Immigrant TV stories mainly focus on Latinos, deportation",https://www.nbcnews.com/news/latino/false-sense-perspective-immigrant-tv-stories-mainly-focus-latinos-deportation-n1240921,"As immigration policy continues to be a crucial topic in the news, a new report from Define American and the Norman Lear Center at USC Annenberg shows the television industry still has a long way to … [+5755 chars]",2020-09-24T13:41:39Z,0.0,0.0,0.0,1.0,0,-2.1
55,immigrant,NBC News,"María Peña, Noticias Telemundo",Coalition backing TPS starts tour slamming Trump's 'racist' end to immigrant protections,https://www.nbcnews.com/news/latino/coalition-backing-tps-starts-tour-slamming-trump-s-racist-end-n1240711,A coalition of groups opposed to President Donald Trump's decision to end protections for hundreds of thousands of immigrants has embarked on a national tour to put a focus on the issue and mobilize … [+3623 chars],2020-09-22T19:50:01Z,0.0258,0.0,0.091,0.909,0,-2.1
